Tour,surface,best_of,w_dk_score,l_dk_score,WIO,LIO,straight_sets
WTA,Grass,3,85.75,7.5,0.621359223,0.378640777,1
ATP,Clay,3,72.25,18.25,0.921568627,0.078431373,1
ATP,Grass,3,72.25,18.25,0.921568627,0.078431373,1
WTA,Grass,3,85.75,12.75,0.611650485,0.388349515,1
WTA,Hard,3,85.75,8.25,0.601941748,0.398058252,1
WTA,Hard,3,85.75,7.5,0.59223301,0.40776699,1
WTA,Hard,3,85.75,7.5,0.582524272,0.417475728,1
ATP,Hard,3,72,18,0.921568627,0.078431373,1
WTA,Hard,3,85.75,7.5,0.524271845,0.475728155,1
WTA,Hard,3,85.75,8.25,0.514563107,0.485436893,1
ATP,Grass,3,71.5,17.5,0.921568627,0.078431373,1
ATP,Hard,3,70,21.25,0.921568627,0.078431373,1
ATP,Hard,3,69.5,20,0.921568627,0.078431373,1
WTA,Hard,3,85.75,12.75,0.417475728,0.582524272,1
WTA,Hard,3,85.75,8.25,0.417475728,0.582524272,1
ATP,Hard,3,67,27.25,0.921568627,0.078431373,0
WTA,Hard,3,85.75,8.25,0.40776699,0.59223301,1
WTA,Hard,3,85.75,12.75,0.388349515,0.611650485,1
ATP,Clay,3,77,13.25,0.920792079,0.079207921,1
WTA,Grass,3,85.75,8.25,0.359223301,0.640776699,1
ATP,Clay,3,77,13.25,0.920792079,0.079207921,1
WTA,Hard,3,85.75,12.75,0.330097087,0.669902913,1
WTA,Hard,3,85.75,12.75,0.303921569,0.696078431,1
ATP,Hard,3,79,10,0.912621359,0.087378641,1
WTA,Hard,3,85.75,8.25,0.291262136,0.708737864,1
WTA,Hard,3,85.75,8.25,0.281553398,0.718446602,1
WTA,Hard,3,85.75,7.5,0.245098039,0.754901961,1
WTA,Hard,3,85.75,8.25,0.194174757,0.805825243,1
ATP,Clay,5,85.7,8.6,0.764705882,0.235294118,1
ATP,Hard,5,85.7,8.6,0.705882353,0.294117647,1
ATP,Grass,5,85.7,8.6,0.689320388,0.310679612,1
ATP,Grass,5,85.4,6.7,0.676470588,0.323529412,1
ATP,Grass,5,85.3,8.2,0.825242718,0.174757282,1
ATP,Hard,5,85.3,8.2,0.766990291,0.233009709,1
WTA,Hard,3,85.25,12.25,0.786407767,0.213592233,1
WTA,Hard,3,85.25,6.5,0.784313725,0.215686275,1
WTA,Hard,3,85.25,6.5,0.757281553,0.242718447,1
WTA,Hard,3,85.25,6.5,0.712871287,0.287128713,1
WTA,Hard,3,85.25,6.5,0.601941748,0.398058252,1
WTA,Hard,3,85.25,6.5,0.533980583,0.466019417,1
WTA,Hard,3,85.25,6.5,0.495145631,0.504854369,1
WTA,Hard,3,85.25,12.25,0.436893204,0.563106796,1
ATP,Hard,5,85.2,8.1,0.68627451,0.31372549,1
ATP,Hard,5,85.2,8.1,0.601941748,0.398058252,1
ATP,Clay,5,85.1,11.6,0.588235294,0.411764706,1
ATP,Clay,5,85.1,11.6,0.578431373,0.421568627,1
WTA,Hard,3,85,7.5,0.922330097,0.077669903,1
WTA,Hard,3,85,7.5,0.912621359,0.087378641,1
WTA,Grass,3,85,12,0.902912621,0.097087379,1
WTA,Clay,3,85,12,0.894230769,0.105769231,1
WTA,Hard,3,85,7.5,0.883495146,0.116504854,1
WTA,Clay,3,85,12,0.883495146,0.116504854,1
ATP,Hard,3,79,10,0.912621359,0.087378641,1
WTA,Hard,3,85,7.5,0.86407767,0.13592233,1
ATP,Hard,3,79,10,0.912621359,0.087378641,1
WTA,Hard,3,85,7.5,0.825242718,0.174757282,1
WTA,Hard,3,85,7.5,0.798076923,0.201923077,1
WTA,Hard,3,85,7.5,0.796116505,0.203883495,1
WTA,Grass,3,85,12,0.786407767,0.213592233,1
ATP,Hard,3,69.5,25.25,0.912621359,0.087378641,1
ATP,Clay,3,86.5,8.25,0.911764706,0.088235294,1
ATP,Clay,3,81.75,8.25,0.911764706,0.088235294,1
WTA,Hard,3,85,12,0.72815534,0.27184466,1
WTA,Clay,3,85,7.5,0.699029126,0.300970874,1
ATP,Hard,3,81,7.5,0.911764706,0.088235294,1
ATP,Hard,3,81,7.5,0.911764706,0.088235294,1
ATP,Hard,3,79.75,10.75,0.911764706,0.088235294,1
WTA,Hard,3,85,7.5,0.689320388,0.310679612,1
ATP,Clay,3,79,10,0.911764706,0.088235294,1
WTA,Hard,3,85,7.5,0.68627451,0.31372549,1
WTA,Hard,3,85,7.5,0.68627451,0.31372549,1
